Representative,Chimeric.Count,Chimeric.Percentage
AAV.102923,498,6.87
AAV.100099,459,6.33
AAV.103151,323,4.45
AAV.105932,288,3.97
AAV.102873,284,3.92
AAV.103968,247,3.41
AAV.103381,183,2.52
AAV.100427,177,2.44
AAV.101197,163,2.25
AAV.100075,161,2.22
AAV.104671,154,2.12
AAV.102191,151,2.08
AAV.102601,146,2.01
AAV.106386,141,1.94
AAV.102090,140,1.93
AAV.100553,134,1.85
AAV.100498,132,1.82
AAV.103889,127,1.75
AAV.107381,125,1.72
AAV.104991,122,1.68
AAV.101312,117,1.61
AAV.103247,114,1.57
AAV.104458,114,1.57
AAV.104928,112,1.54
AAV.101023,97,1.34
AAV.105887,93,1.28
AAV.100223,91,1.25
AAV.106899,85,1.17
AAV.101447,80,1.1
AAV.101792,77,1.06
AAV.105060,77,1.06
AAV.104542,71,0.98
AAV.100543,71,0.98
AAV.104850,61,0.84
AAV.106258,60,0.83
AAV.102516,58,0.8
AAV.100333,56,0.77
AAV.105975,55,0.76
AAV.106503,55,0.76
AAV.103507,55,0.76
AAV.100105,55,0.76
AAV.103541,52,0.72
AAV.106795,50,0.69
AAV.106157,49,0.68
AAV.106206,48,0.66
AAV.104015,46,0.63
AAV.103922,46,0.63
AAV.106341,45,0.62
AAV.101388,45,0.62
AAV.105457,43,0.59
AAV.101560,43,0.59
AAV.103109,42,0.58
AAV.103459,42,0.58
AAV.102159,42,0.58
AAV.104223,41,0.57
AAV.102459,41,0.57
AAV.105533,40,0.55
AAV.106859,40,0.55
AAV.106696,39,0.54
AAV.102835,38,0.52
AAV.101037,38,0.52
AAV.100791,38,0.52
AAV.106735,35,0.48
AAV.103501,32,0.44
AAV.106536,32,0.44
AAV.107402,32,0.44
AAV.100272,32,0.44
AAV.101558,30,0.41
AAV.102041,29,0.4
AAV.102311,28,0.39
AAV.101769,27,0.37
AAV.103557,26,0.36
AAV.101532,26,0.36
AAV.104514,24,0.33
AAV.104067,22,0.3
AAV.100771,20,0.28
AAV.105365,19,0.26
AAV.101034,17,0.23
AAV.104089,17,0.23
AAV.106672,16,0.22
AAV.105656,13,0.18
AAV.100292,12,0.17
AAV.107039,11,0.15
AAV.106456,10,0.14
AAV.106688,8,0.11
AAV.104480,7,0.1
AAV.100304,4,0.06
AAV.100695,4,0.06
AAV.104538,4,0.06
